label,status,latency_ms,server_processing_ms,error_kind
benign,200,2349.95,,
benign,403,24.46,,
benign,403,22.1,,
benign,403,23.75,,
benign,403,24.12,,
benign,403,24.21,,
benign,403,22.54,,
benign,403,24.61,,
benign,403,24.54,,
benign,403,29.29,,
benign,403,24.14,,
benign,403,24.15,,
benign,403,23.78,,
benign,403,26.0,,
benign,403,24.16,,
benign,403,24.11,,
benign,403,22.59,,
benign,403,27.04,,
benign,403,24.2,,
benign,403,23.86,,
benign,403,25.09,,
benign,403,23.28,,
benign,403,22.63,,
benign,403,23.93,,
benign,403,27.82,,
benign,403,28.42,,
benign,403,25.26,,
benign,403,22.54,,
benign,403,23.23,,
benign,403,24.77,,
sqli,403,24.81,,
sqli,403,23.23,,
sqli,403,23.48,,
sqli,403,24.83,,
sqli,403,25.25,,
sqli,403,24.74,,
sqli,403,24.9,,
sqli,403,23.67,,
sqli,403,27.59,,
sqli,403,39.11,,
sqli,403,29.05,,
sqli,403,22.91,,
xss,403,23.22,,
xss,403,22.93,,
xss,403,25.26,,
xss,403,29.34,,
xss,403,27.27,,
xss,403,70.86,,
xss,403,23.01,,
xss,403,24.75,,
xss,403,24.24,,
xss,403,23.81,,
xss,403,24.35,,
xss,403,25.31,,
misc,403,27.61,,
misc,403,25.32,,
misc,403,23.8,,
misc,403,24.57,,
misc,403,24.66,,
misc,403,24.03,,
misc,403,24.89,,
misc,403,23.16,,
misc,403,24.38,,
misc,403,24.31,,
misc,403,24.11,,
misc,403,24.99,,
burst,403,22.89,,
burst,403,22.76,,
burst,403,23.1,,
burst,403,23.5,,
burst,403,25.45,,
burst,403,24.59,,
burst,403,24.72,,
burst,403,23.93,,
burst,403,23.4,,
burst,403,24.79,,
burst,403,25.2,,
burst,403,24.87,,
burst,403,27.54,,
burst,403,22.85,,
burst,403,23.5,,
burst,403,28.38,,
burst,403,24.13,,
burst,403,36.36,,
burst,403,24.83,,
burst,403,24.55,,
burst,403,35.47,,
burst,403,27.58,,
burst,403,34.94,,
burst,403,24.17,,
burst,403,43.28,,
burst,403,44.07,,
burst,403,53.91,,
burst,403,23.79,,
burst,403,31.6,,
burst,403,27.72,,
burst,403,28.58,,
burst,403,32.77,,
burst,403,30.13,,
burst,403,25.41,,
burst,403,29.39,,
burst,403,29.01,,
burst,403,25.07,,
burst,403,28.34,,
burst,403,27.22,,
burst,403,28.71,,
burst,403,63.1,,
burst,403,33.15,,
burst,403,38.68,,
burst,403,29.77,,
burst,403,27.02,,
burst,403,23.98,,
burst,403,35.84,,
burst,403,42.44,,
burst,403,36.08,,
burst,403,34.04,,
burst,403,45.72,,
burst,403,34.38,,
burst,403,28.83,,
burst,403,49.95,,
burst,403,37.18,,
burst,403,30.25,,
burst,403,50.46,,
burst,403,31.78,,
burst,403,35.49,,
burst,403,46.44,,
