label,status,latency_ms,server_processing_ms,error_kind
benign,403,2092.49,,
benign,403,25.16,,
benign,403,26.36,,
benign,403,23.91,,
benign,403,29.95,,
benign,403,27.73,,
benign,403,25.22,,
benign,403,27.52,,
benign,403,23.64,,
benign,403,28.59,,
benign,403,30.64,,
benign,403,26.26,,
benign,403,26.42,,
benign,403,25.43,,
benign,403,26.11,,
benign,403,26.72,,
benign,403,26.21,,
benign,403,26.69,,
benign,403,28.3,,
benign,403,28.45,,
benign,403,32.38,,
benign,403,36.67,,
benign,403,24.9,,
benign,403,23.54,,
benign,403,24.37,,
benign,403,38.55,,
benign,403,24.7,,
benign,403,23.5,,
benign,403,25.19,,
benign,403,27.59,,
sqli,403,24.25,,
sqli,403,23.13,,
sqli,403,22.47,,
sqli,403,23.59,,
sqli,403,31.96,,
sqli,403,50.9,,
sqli,403,37.69,,
sqli,403,26.84,,
sqli,403,26.75,,
sqli,403,26.43,,
sqli,403,26.06,,
sqli,403,30.8,,
xss,403,28.41,,
xss,403,36.56,,
xss,403,36.98,,
xss,403,28.58,,
xss,403,32.91,,
xss,403,43.79,,
xss,403,24.2,,
xss,403,27.75,,
xss,403,24.83,,
xss,403,24.93,,
xss,403,26.66,,
xss,403,28.66,,
misc,403,60.77,,
misc,403,32.29,,
misc,403,28.73,,
misc,403,31.23,,
misc,403,31.82,,
misc,403,31.15,,
misc,403,23.31,,
misc,403,25.15,,
misc,403,25.68,,
misc,403,24.22,,
misc,403,28.08,,
misc,403,24.72,,
burst,403,24.42,,
burst,403,23.82,,
burst,403,38.05,,
burst,403,24.3,,
burst,403,26.87,,
burst,403,23.11,,
burst,403,27.16,,
burst,403,23.54,,
burst,403,28.25,,
burst,403,32.23,,
burst,403,28.95,,
burst,403,27.57,,
burst,403,24.88,,
burst,403,27.69,,
burst,403,26.49,,
burst,403,30.78,,
burst,403,26.89,,
burst,403,29.78,,
burst,403,28.08,,
burst,403,32.27,,
burst,403,24.9,,
burst,403,24.45,,
burst,403,24.75,,
burst,403,28.28,,
burst,403,25.12,,
burst,403,27.66,,
burst,403,28.06,,
burst,403,24.74,,
burst,403,27.76,,
burst,403,28.64,,
burst,403,28.66,,
burst,403,26.14,,
burst,403,25.29,,
burst,403,27.41,,
burst,403,27.58,,
burst,403,26.16,,
burst,403,29.33,,
burst,403,24.28,,
burst,403,24.18,,
burst,403,32.05,,
burst,403,31.18,,
burst,403,28.23,,
burst,403,31.16,,
burst,403,25.49,,
burst,403,36.51,,
burst,403,29.77,,
burst,403,27.74,,
burst,403,27.25,,
burst,403,33.75,,
burst,403,119.31,,
burst,403,27.31,,
burst,403,39.38,,
burst,403,37.95,,
burst,403,50.38,,
burst,403,24.26,,
burst,403,23.63,,
burst,403,26.58,,
burst,403,23.33,,
burst,403,25.01,,
burst,403,24.38,,
