label,status,latency_ms,server_processing_ms,error_kind
benign,403,2101.86,,
benign,403,23.9,,
benign,403,23.51,,
benign,403,25.14,,
benign,403,23.54,,
benign,403,23.38,,
benign,403,23.32,,
benign,403,24.23,,
benign,403,23.6,,
benign,403,23.55,,
benign,403,40.13,,
benign,403,31.13,,
benign,403,26.92,,
benign,403,23.3,,
benign,403,26.6,,
benign,403,24.7,,
benign,403,23.17,,
benign,403,24.73,,
benign,403,23.27,,
benign,403,23.83,,
benign,403,26.32,,
benign,403,24.4,,
benign,403,22.64,,
benign,403,25.48,,
benign,403,24.02,,
benign,403,23.95,,
benign,403,25.49,,
benign,403,25.73,,
benign,403,22.75,,
benign,403,25.29,,
sqli,403,29.92,,
sqli,403,24.5,,
sqli,403,26.26,,
sqli,403,23.45,,
sqli,403,25.28,,
sqli,403,25.79,,
sqli,403,25.25,,
sqli,403,25.78,,
sqli,403,25.15,,
sqli,403,25.02,,
sqli,403,26.5,,
sqli,403,33.14,,
xss,403,25.28,,
xss,403,23.9,,
xss,403,25.82,,
xss,403,23.21,,
xss,403,23.08,,
xss,403,26.01,,
xss,403,25.34,,
xss,403,24.99,,
xss,403,24.57,,
xss,403,23.53,,
xss,403,27.18,,
xss,403,27.23,,
misc,403,25.05,,
misc,403,26.37,,
misc,403,22.5,,
misc,403,23.29,,
misc,403,22.94,,
misc,403,23.39,,
misc,403,22.51,,
misc,403,22.66,,
misc,403,28.94,,
misc,403,25.76,,
misc,403,23.82,,
misc,403,24.01,,
burst,403,25.12,,
burst,403,24.8,,
burst,403,23.38,,
burst,403,24.11,,
burst,403,24.49,,
burst,403,24.47,,
burst,403,22.16,,
burst,403,23.39,,
burst,403,23.87,,
burst,403,24.06,,
burst,403,24.87,,
burst,403,22.91,,
burst,403,24.74,,
burst,403,23.27,,
burst,403,23.3,,
burst,403,25.12,,
burst,403,24.7,,
burst,403,22.57,,
burst,403,23.3,,
burst,403,23.24,,
burst,403,24.32,,
burst,403,26.24,,
burst,403,24.29,,
burst,403,31.63,,
burst,403,26.2,,
burst,403,23.58,,
burst,403,24.53,,
burst,403,24.43,,
burst,403,24.35,,
burst,403,23.36,,
burst,403,24.5,,
burst,403,23.95,,
burst,403,25.1,,
burst,403,25.98,,
burst,403,24.52,,
burst,403,25.01,,
burst,403,24.66,,
burst,403,23.86,,
burst,403,24.47,,
burst,403,24.91,,
burst,403,23.46,,
burst,403,28.3,,
burst,403,25.0,,
burst,403,25.64,,
burst,403,30.35,,
burst,403,39.33,,
burst,403,112.03,,
burst,403,78.18,,
burst,403,70.84,,
burst,403,78.72,,
burst,403,67.41,,
burst,403,65.74,,
burst,403,57.77,,
burst,403,115.24,,
burst,403,49.19,,
burst,403,55.34,,
burst,403,43.74,,
burst,403,52.29,,
burst,403,58.57,,
burst,403,42.97,,
