label,status,latency_ms,server_processing_ms,error_kind
benign,200,2330.95,,
benign,403,36.01,,
benign,403,38.92,,
benign,403,33.23,,
benign,403,35.2,,
benign,403,36.6,,
benign,403,34.06,,
benign,403,35.78,,
benign,403,34.05,,
benign,403,32.49,,
benign,403,35.55,,
benign,403,31.17,,
benign,403,40.46,,
benign,403,67.16,,
benign,403,31.8,,
benign,403,33.82,,
benign,403,34.24,,
benign,403,33.19,,
benign,403,35.06,,
benign,403,44.23,,
benign,403,42.67,,
benign,403,34.68,,
benign,403,36.59,,
benign,403,58.84,,
benign,403,30.8,,
benign,403,36.11,,
benign,403,32.38,,
benign,403,31.66,,
benign,403,33.03,,
benign,403,43.68,,
sqli,403,39.91,,
sqli,403,41.22,,
sqli,403,36.62,,
sqli,403,37.0,,
sqli,403,36.29,,
sqli,403,33.95,,
sqli,403,34.3,,
sqli,403,33.86,,
sqli,403,33.67,,
sqli,403,35.09,,
sqli,403,34.67,,
sqli,403,42.09,,
xss,403,35.46,,
xss,403,37.32,,
xss,403,34.82,,
xss,403,38.15,,
xss,403,49.01,,
xss,403,35.59,,
xss,403,36.57,,
xss,403,34.0,,
xss,403,34.65,,
xss,403,36.0,,
xss,403,35.96,,
xss,403,42.61,,
misc,403,39.29,,
misc,403,37.79,,
misc,403,36.33,,
misc,403,40.43,,
misc,403,52.63,,
misc,403,37.88,,
misc,403,37.96,,
misc,403,39.48,,
misc,403,36.86,,
misc,403,39.14,,
misc,403,65.96,,
misc,403,35.32,,
burst,403,34.86,,
burst,403,38.82,,
burst,403,30.87,,
burst,403,34.77,,
burst,403,39.69,,
burst,403,40.49,,
burst,403,41.86,,
burst,403,35.27,,
burst,403,36.8,,
burst,403,33.29,,
burst,403,33.29,,
burst,403,42.59,,
burst,403,33.74,,
burst,403,35.28,,
burst,403,33.9,,
burst,403,35.75,,
burst,403,36.96,,
burst,403,34.57,,
burst,403,32.74,,
burst,403,45.08,,
burst,403,34.67,,
burst,403,39.22,,
burst,403,36.18,,
burst,403,38.26,,
burst,403,38.86,,
burst,403,33.5,,
burst,403,42.33,,
burst,403,34.91,,
burst,403,39.49,,
burst,403,43.49,,
burst,403,41.49,,
burst,403,37.82,,
burst,403,55.67,,
burst,403,47.8,,
burst,403,44.59,,
burst,403,41.38,,
burst,403,44.2,,
burst,403,37.46,,
burst,403,36.81,,
burst,403,36.71,,
burst,403,34.87,,
burst,403,36.78,,
burst,403,33.34,,
burst,403,35.42,,
burst,403,44.27,,
burst,403,44.38,,
burst,403,37.67,,
burst,403,33.25,,
burst,403,33.45,,
burst,403,87.43,,
burst,403,34.54,,
burst,403,32.88,,
burst,403,33.86,,
burst,403,31.74,,
burst,403,43.37,,
burst,403,39.17,,
burst,403,49.97,,
burst,403,46.57,,
burst,403,45.25,,
burst,403,39.26,,
